,Encoding
114,"INDEPENDENT STUDY II  FAS Applied Human Sciences AHSC 491 400 Bachelor Field studies, and/or research"
115,Advanced Research Methods in Youth Work  FAS Applied Human Sciences AHSC 510 500 Certificate Applied research project
116,"Individual and Group Intervention with Youth  FAS Applied Human Sciences AHSC 525 500 Certificate Fieldwork component, 1 hour per week observation youth work setting"
117,Advanced Youth Work Intervention:  Case Management and Supervision  FAS Applied Human Sciences AHSC 527 500 Certificate Implementing & monitoring effective collaborative case plans young people & families
118,Community Youth Development  FAS Applied Human Sciences AHSC 530 500 Certificate Practical applications community-based youth programs
119,GROUP PROCESS INTERVENTION  FAS Applied Human Sciences AHSC 610 600 Certificate Residential Laboratory; Course-integrated projects
120,LRNING/INDIV CHNG PROCESSES  FAS Applied Human Sciences AHSC 620 600 Certificate Course-integrated projects; Capstone project
121,RESEARCH METHODS  FAS Applied Human Sciences AHSC 631 600 Certificate Course-integrated projects; Simulations; Participatory action research
122,PLANNING HUMAN SYST INTERVEN  FAS Applied Human Sciences AHSC 632 600 Certificate Course-integrated projects; Simulations; Case studies
123,PHIL AND ETHICS OF INTERV N  FAS Applied Human Sciences AHSC 660 600 Certificate Course-integrated project; Case studies; Hands-on workshops
124,CONSULTATION METHODS  FAS Applied Human Sciences AHSC 670 600 Master Establish effective client-consultant relationships
125,INTRO TO OPEN SYSTEMS THEORY  FAS Applied Human Sciences AHSC 675 600 Master Course-integrated projects; Simulations
126,FACIL INDIV/GROUP LRNG PROC  FAS Applied Human Sciences AHSC 680 600 Master Laboratory setting plus delivery workshop community client
127,FACIL INDIV/GROUP LRNG PROC  FAS Applied Human Sciences AHSC 680 600 Master Laboratory setting
128,COACHING INTERVEN.&PROCESSES  FAS Applied Human Sciences AHSC 685 600 Master Practical components
129,"MASTER S PROJECT  FAS Applied Human Sciences AHSC 698 600 Master Contracting client, gathering analyzing data, implementing relevant intervention activities, evaluating intervention well role"
130,"ADVANCED TOPICS IN AHSC  FAS Applied Human Sciences AHSC 498 400 Bachelor / Certificate Students join learning community made undergraduate graduate students, university staff members local community. Together engage ‘u.lab’ - process innovation change connects inner change outer action."
131,"Independent Study  FAS Applied Human Sciences AHSC 599 500 Certificate Field studies, and/or research"
132,COUNSELLING AND SKILLS AND CONCEPTS AHSC 351 = APSS 450 = AHSC 451 FAS Applied Human Sciences AHSC 451 400 Bachelor in-class simulations
133,"Internship I in Youth Work  FAS Applied Human Sciences AHSC 533 500 Certificate Entry-level internship designed provide first field experience promotes integration clinical normative youth work setting. A major focus participatory observation. One day per week, total 100 hours settings schools, community organizations, hospitals, rehabilitation centres."
134,"Internship I in Youth Work  FAS Applied Human Sciences AHSC 533 500 Certificate 100 hours settings schools, community organizations, hospitals, rehabilitation centres"
135,Internship II in Youth Work AHSC537 = AHSC535 FAS Applied Human Sciences AHSC 537 500 Certificate Any programs
136,"Internship II in Youth Work AHSC537 = AHSC535 FAS Applied Human Sciences AHSC 537 500 Certificate 220-hour internship, supervised apprenticeship either clinical normative youth work setting builds student’s previous courses"
137,Internship II in Youth Work AHSC538 = AHSC536 FAS Applied Human Sciences AHSC 537 500 Certificate Any programs
138,"Internship II in Youth Work AHSC538 = AHSC536 FAS Applied Human Sciences AHSC 537 500 Certificate 220-hour internship, supervised apprenticeship either clinical normative youth work setting builds student’s previous courses"
139,"Extended Internship in Youth Work AHSC538 = AHSC536 FAS Applied Human Sciences AHSC 538 500 Certificate 320-hour internship, full-time supervised experience either clinical normative youth work setting, additional hours assist student building his/her application licensing"
140,Extended Internship in Youth Work AHSC538 = AHSC536 FAS Applied Human Sciences AHSC 538 500 Certificate 320-hour internship. Full-time supervised experience either clinical normative youth work setting requires additional hours assist student building his/her application licensing. The student fully assumes duties responsibilities youth worker site selected first internship. Work supervised evaluated on-site field supervisor.
141,"COMMUNITY DEVELOPMENT AND LEISURE  FAS Applied Human Sciences AHSC 442 400 Bachelor Development, application, evaluation community development approach community"
142,Organizational Development I AHSC 423 = AHSC 332 FAS Applied Human Sciences AHSC 332 300 Bachelor Learn phases skills OD consulting participating several workplace simulations
143,"Advanced Family Life Education  FAS Applied Human Sciences AHSC 456 400 Bachelor Fieldwork, 1 hour per week observation family life education setting"
144,"Field Research  FAS Sociology and Anthropology ANTH 315 300 Bachelor Field, practice"
145,"PHONOLOGY  FAS Education APLI 601 600 Master Evaluation pronunciation textbooks; assessment teaching techniques pronunciation instructions; preparation teaching materials targeting L2 pronunciation; analysis L2 learner data; use computer-assisted tools pronunciation teaching learning; conduct needs analysis (e.g., based pronunciation problems specific learning context)"
146,"APPLIED LANGUAGE STUDIES  FAS Education APLI 604 600 Master Analysis language data (e.g., phonological, morphosyntactic phenomena); synthesize research various presentation formats: abstract, reviews, 3-min./10-min/20-min oral presentations, research papers, etc.;"
147,"Teaching and Learning Second Language Vocabulary  FAS Education APLI 610 600 Master Students complete projects direct social impact: 1) vocabulary language task social justice education, apply teaching; 2) digital presentation demonstrate use computer tools teach vocabulary, made available online community; 3) research paper professional magazine article students encourage submit publication"
148,"PEDAGOGICAL GRAMMAR  FAS Education APLI 616 600 Master Final teaching research project: design, implement, evaluate teaching original set materials grammar feature; write analysis final report"
149,SOCIO ASP BILING & MULTILING  FAS Education APLI 623 600 Master Students complete project targeting sociolinguistic topic choice. The project either data driven (based language data collected students) conceptual (involving critical review relevant issues given topic). Students write results project brief report format present content 10-minute presentation.
150,L2 SYLLABUS DES&CURR PLAN  FAS Education APLI 630 600 Master Students conduct needs analysis based language program community aim improve language instruction. They also complete final project: design language curriculum based needs analysis. Knowledge theories learned course disseminated digital presentation blog post research paper students encouraged publish online and/or submit publication
151,"CROSS-LINGUISTIC INFLUENCE  FAS Education APLI 634 600 Master Final research project: students design pilot (collect data) study, analyze write results; many students present findings annual Graduate Student Symposium"
152,"LANGUAGE ASSESSMENT  FAS Education APLI 635 600 Master Students complete projects analyze deconstruct existing language assessments, well writing blueprints language assessments specific contexts choice"
153,LANGUAGE AWARENESS  FAS Education APLI 636 600 Master Students research teach language awareness techniques entire class.
154,"TECHNOLOGY IN LANG. TEACHING  FAS Education APLI 644 600 Master Design, create assess pedagogical materials involving reading writing (including lesson plans, activities, textbooks, virtual learning environments, website, games, etc.); final projects: develop full-fledged virtual learning environment research project implement computer technology language teaching and/or learning"
155,SUPERVISION OF PRACT.TEACH  FAS Education APLI 647 600 Master Students observe assist novice ESL teachers provide one-on-one mentoring.
156,"RESEARCH METHODS  FAS Education APLI 660 600 Master Students engage project leading proposal MA-level research study. The research proposal consists two parts: (a) review literature (b) method section, organized single, coherent document. The research proposal also includes oral presentation, response peer feedback document."
157,"VARIATIONIST SECOND LANGUAGE ACQUISITION  FAS Education APLI 626 600 Master Conceptualize, design implement pilot study using variationist analytical tools; review critique studies field; create sociolinguistically-influenced pedagogical materials language teaching"
158,Professional Internship  FFA Studio Arts ARTT 470 400 Bachelor Students wishing work internship capacity within artistic/cultural environment may apply academic credit.
159,Professional Internship I  FFA Studio Arts ARTT 471 400 Bachelor Students wishing work internship capacity within artistic/cultural environment may apply academic credit.
160,Professional Internship II  FFA Studio Arts ARTT 472 400 Bachelor Students wishing work internship capacity within artistic/cultural environment may apply academic credit.
161,Integrated Studio in Contemporary Art Practices I  FFA Studio Arts ARTX 280 200 Bachelor Studio course
162,Intermediate Integrated Studio in Contemporary Art Practices  FFA Studio Arts ARTX 380 300 Bachelor Studio course
163,Advanced Integrated Studio in Contemporary Art Practices  FFA Studio Arts ARTX 480 400 Bachelor Studio course
164,Independent Study  FFA Studio Arts ARTX 490 400 Bachelor This course provides limited number students opportunity pursue advanced studies specific interdisciplinary project supervision full‑time ARTX faculty member.
165,Independent Study I  FFA Studio Arts ARTX 491 400 Bachelor This course provides limited number students opportunity pursue advanced studies specific interdisciplinary project supervision full‑time ARTX faculty member.
166,Independent Study II  FFA Studio Arts ARTX 492 400 Bachelor This course provides limited number students opportunity pursue advanced studies specific interdisciplinary project supervision full‑time ARTX faculty member.
167,SPEC.TOPICS CONT.STUDIO PRAC  FFA Studio Arts ARTX 399 300 Bachelor Studio course
168,Special Topics in Contemporary Studio Arts Practice  FFA Studio Arts ARTX 398 300 Bachelor Studio course
169,"Surveying BCEE 371 = CIVI 271 GCS Building, Civil and Environmental Engineering (BCEE) BCEE 371 300 Bachelor Fieldwork"
170,"Surveying BCEE 371 = CIVI 271 GCS Building, Civil and Environmental Engineering (BCEE) BCEE 371 300 Bachelor Fieldwork"
171,Introductory Biology  FAS Biology BIOL 201 200 Bachelor Laboratory
172,Introductory Biology  FAS Biology BIOL 201 200 Bachelor Laboratory
173,Laboratory Studies in Biodiversity  FAS Biology BIOL 227 200 Bachelor Laboratory
174,Laboratory Studies in Biodiversity  FAS Biology BIOL 227 200 Bachelor Laboratory
175,Biostatistics  FAS Biology BIOL 322 300 Bachelor Laboratory
176,Biostatistics  FAS Biology BIOL 322 300 Bachelor Laboratory
177,Vertebrate Biology  FAS Biology BIOL 330 300 Bachelor Laboratory
178,Vertebrate Biology  FAS Biology BIOL 330 300 Bachelor Laboratory
179,Invertebrate Biology  FAS Biology BIOL 337 300 Bachelor Laboratory
180,Invertebrate Biology  FAS Biology BIOL 337 300 Bachelor Laboratory
181,Plant Biology  FAS Biology BIOL 340 300 Bachelor Laboratory
182,Plant Biology  FAS Biology BIOL 340 300 Bachelor Laboratory
183,Basic Population Ecology  FAS Biology BIOL 351 300 Bachelor Computer lab
184,Basic Population Ecology  FAS Biology BIOL 351 300 Bachelor Computer lab
185,Genetics and Cell Biology Laboratory  FAS Biology BIOL 368 300 Bachelor Laboratory
186,Genetics and Cell Biology Laboratory  FAS Biology BIOL 368 300 Bachelor Laboratory
187,Comparative Animal Physiology BIOL 382 = BIOL 383 FAS Biology BIOL 382 300 Bachelor Laboratory
188,Comparative Animal Physiology BIOL 382 = BIOL 383 FAS Biology BIOL 382 300 Bachelor Laboratory
189,Advanced Statistics for Biological Sciences  FAS Biology BIOL 422 400 Bachelor Computer lab
190,Advanced Statistics for Biological Sciences  FAS Biology BIOL 422 400 Bachelor Computer lab
191,TECHNIQUES IN ECOLOGY  FAS Biology BIOL 450 400 Bachelor Laboratory
192,TECHNIQUES IN ECOLOGY  FAS Biology BIOL 450 400 Bachelor Laboratory
193,Field Ecology  FAS Biology BIOL 451 400 Bachelor 2 weeks fieldwork research station
194,Advanced Techniques in Molecular Biology  FAS Biology BIOL 466 400 Bachelor Laboratory
195,Advanced Techniques in Molecular Biology  FAS Biology BIOL 466 400 Bachelor Laboratory
196,Bioinformatics  FAS Biology BIOL 480 400 Bachelor Computer lab
197,Bioinformatics  FAS Biology BIOL 480 400 Bachelor Computer lab
198,Independent Study  FAS Biology BIOL 490 400 Bachelor Research project
199,BIOINFORMATICS  FAS Biology BIOL 510 500 Certificate Computer lab
200,BIOINFORMATICS  FAS Biology BIOL 510 500 Certificate Computer lab
201,LABORATORY  FAS Biology BIOL 515 500 Certificate Laboratory
202,LABORATORY  FAS Biology BIOL 515 500 Certificate Laboratory
203,PROJ IN BIOTECH & GENOMICS  FAS Biology BIOL 516 500 Certificate Research project
204,HIGH THROUGHPUT INSTRUMENTAT  FAS Biology BIOL 524 500 Certificate Real-world project/assignment
205,ADVANCED TOPICS IN ECOLOGY  FAS Biology BIOL 614 600 Certificate 2 weeks fieldwork research station
206,ADVANCED TOPICS IN BIOTECHNOLOGY  FAS Biology BIOL 631 600 Master Real-world project/assignment
207,ADVANCED TOPICS IN BIOTECHNOLOGY  FAS Biology BIOL 631 600 Master Real-world project/assignment
208,SCIENTIFIC COMMUNICATION  FAS Biology BIOL 670 600 Master Workshops
209,ADVANCED TOPICS IN BIOLOGY  FAS Biology BIOL 680 600 Master Real-world project/assignment
210,ADVANCED TOPICS IN BIOLOGY  FAS Biology BIOL 680 600 Master Computer lab
211,ADVANCED TOPICS IN BIOLOGY  FAS Biology BIOL 680 600 Master Real-world project/assignment
